,center,represents,cluster_size,avg_breakout_size,std_breakout_size
0,抖音,抖音 最右 头条 快手 dy,318,438.62893081761007,343.7873145617415
1,电影,电影 电影院,251,547.3346613545817,645.4223852117735
2,rip,rip a神 逝者安息 科比 mj,230,1611.378260869565,3171.0040256725874
3,高考,高考 中考 高三 考研 考试,213,425.78403755868544,408.22159858098803
4,情人节,情人节 中秋 七夕 新婚 生辰,212,595.3584905660377,774.5997102421067
5,原唱,原唱 翻唱 原版 原曲 回音哥,207,412.5217391304348,318.10013958307616
6,初中,初中 高中 小学 中学 年前,183,448.1912568306011,438.3897528942513
7,哥哥,哥哥 张国荣 张先生 leslie,176,696.8068181818181,1177.339492611457
8,薛之谦,薛之谦 周杰伦 邓紫棋 李荣浩 林宥嘉,171,498.94152046783626,429.09991076933306
9,热搜,热搜,162,611.895061728395,548.0379775074246
10,天堂,天堂,154,1937.1623376623377,3533.9843807686266
11,微博,微博 知乎 动态 ins 榜姐,146,474.75342465753425,499.4935045807991
12,前奏,前奏 旋律 开头 副歌 第秒,137,520.2773722627737,717.6872092798492
13,粉丝,粉丝 水军 歌迷 黑粉 黑子,130,667.9307692307692,1059.069266191648
14,许嵩,许嵩 汪苏泷 张杰 嵩哥 徐良,129,552.4418604651163,866.8261353612821
15,北京,北京 南京 重庆 成都 合肥,127,431.81889763779526,314.10298269415955
16,中国,中国 国人,122,528.860655737705,698.6964832208215
17,结婚,结婚 离婚 婚礼 伴郎 订婚,113,358.37168141592923,190.56354221843316
18,封面,封面 头像,112,361.63392857142856,298.62048882963813
19,恭喜,恭喜 祝贺,110,458.90909090909093,366.1538560236554
20,抄袭,抄袭 侵权 维权 授权 裁缝,107,595.2523364485982,659.8008492154145
21,妈妈,妈妈 爸爸 母亲 外婆 爸妈,105,520.7619047619048,578.4427785637594
22,任素,任素 黄龄 白百何 周笔畅 张家辉,104,396.5480769230769,296.2964303053386
23,现场,现场 演唱会 音乐节 live 巡演,101,413.0693069306931,306.9595792858748
24,a妹,a妹 霉霉 火星哥 比伯 卡妹,96,423.5520833333333,367.05346652405615
25,电视剧,电视剧 小说 盗墓笔记 东宫 仙剑,94,437.48936170212767,305.510724980836
26,毛不易,毛不易 陈粒 赵雷 春花 朴树,93,563.5698924731183,585.6454099455668
27,老师,老师 英语老师,93,534.9784946236559,519.2735202037849
28,版本,版本 女生版 插电,89,460.9550561797753,435.8092281874163
29,祝福,祝福 祝你们,86,465.69767441860466,394.53770621133117
30,新飞,新飞 pick ninepercent kiki 孟美岐,86,525.0697674418604,506.7668559557686
31,说唱,说唱 rap 有嘻哈,85,530.1882352941177,550.1849848084283
32,ky,ky 招黑 劝删 大名 别刷,85,462.5529411764706,319.3434627438486
33,孙燕姿,孙燕姿 lala 萧亚轩 杨丞琳 田馥甄,84,695.452380952381,1061.095900301753
34,肖战,肖战 千玺 鹿晗 农农 王博,81,562.6172839506173,541.5916544732685
35,吴亦凡,吴亦凡 diss rapper 砍死 马思唯,81,608.7901234567901,1194.2048102362269
36,大学,大学 学校,79,393.1392405063291,381.41242285521315
37,视频,视频 剪辑,77,434.24675324675326,382.47967965187564
38,豆芽,豆芽 福克斯 法老 杨和苏 flow,63,550.1904761904761,588.4902355771203
39,格莱美,格莱美 b榜 slay 空降 猴西,62,418.6774193548387,349.7596305572354
40,creeper,creeper ac d站 雷军 阿卡,57,398.43859649122805,272.74987047411076
41,节目,节目 明日之子 跑男 综艺节目 小品,55,396.1272727272727,330.97360809617186
42,祖国,祖国 国家 昌盛 中华民族,54,988.2037037037037,1532.1741316233974
43,愚人节,愚人节,53,637.6415094339623,557.8291513093878
44,新歌声,新歌声 中餐厅 朱龙 td 刘怡潼,46,461.54347826086956,447.2005049056874
45,小宇,小宇 沈以诚 焦迈奇 徐秉龙 hsh,45,391.68888888888887,264.17391764788607
46,时光,时光 岁月,42,410.5,267.43207860439384
47,星星,星星 最亮 夜空,39,463.38461538461536,310.8872015233273
48,同学,同学 同桌 闺蜜 室友 前桌,35,332.14285714285717,143.7454382594737
49,介猴,介猴 伯伯 恭送 王师傅 黄鹤,34,421.4117647058824,318.83428460261655
50,裤带,裤带 白糖 e% 几刚 状元郎,33,454.27272727272725,414.81447278507045
51,明白,明白 懂得,32,359.90625,206.07649662428148
52,必胜,必胜 考场 百日 倒计时 祈福,31,419.16129032258067,188.55119896355242
53,老大,老大,31,920.6451612903226,1071.5259408112458
54,黄家驹,黄家驹 林肯公园 小红莓 家驹 陈百强,28,1345.9642857142858,2559.261172433265
55,小哥哥,小哥哥 小哥 大叔,28,472.85714285714283,382.022691387166
56,梦里,梦里 梦见 做梦,27,333.0,235.59082545175022
